('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         455445 function calls (440261 primitive calls) in 1.553 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    40/30    0.000    0.000    0.080    0.003 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       40    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       38    0.000    0.000    0.000    0.000 element.py:293(<listcomp>)
       38    0.000    0.000    0.000    0.000 element.py:274(get_text)
    38/29    0.000    0.000    0.011    0.000 css_parser.py:741(parse_pseudo_open)
       38    0.000    0.000    0.000    0.000 typing.py:223(_check_generic)
       38    0.000    0.000    0.001    0.000 typing.py:1137(__getitem__)
       37    0.000    0.000    0.000    0.000 typing.py:219(<listcomp>)
       36    0.001    0.000    0.015    0.000 element.py:779(_find_all)
       36    0.000    0.000    0.015    0.000 element.py:1871(find_all)
       36    0.000    0.000    0.000    0.000 element.py:2011(__init__)
       36    0.000    0.000    0.000    0.000 element.py:2278(__init__)
       35    0.000    0.000    0.000    0.000 {built-in method _operator.index}
       35    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       34    0.000    0.000    0.004    0.000 element.py:1846(find)
       28    0.000    0.000    0.000    0.000 __init__.py:579(__missing__)
       27    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
       27    0.001    0.000    0.001    0.000 functools.py:518(decorating_function)
       27    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
       27    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       26    0.000    0.000    0.000    0.000 typing.py:253(_deduplicate)
       26    0.000    0.000    0.000    0.000 typing.py:267(_remove_dups_flatten)
       26    0.000    0.000    0.001    0.000 typing.py:483(Union)
       25    0.000    0.000    0.001    0.000 typing.py:1222(__getitem__)
       25    0.000    0.000    0.000    0.000 typing.py:1246(__hash__)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
       23    0.000    0.000    0.480    0.021 {method 'readline' of '_io.BufferedReader' objects}
       23    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       22    0.000    0.000    0.000    0.000 util.py:15(lower)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
       21    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
       20    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
       20    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
       20    0.000    0.000    0.000    0.000 typing.py:714(__hash__)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
       19    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1174(create_module)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
       19    0.002    0.000    0.002    0.000 {built-in method _imp.create_dynamic}
       19    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
       18    0.000    0.000    0.000    0.000 abc.py:105(__new__)
       18    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       18    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
       17    0.000    0.000    0.000    0.000 message.py:479(set_raw)
       17    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
       17    0.000    0.000    0.000    0.000 typing.py:380(__repr__)
       17    0.000    0.000    0.001    0.000 typing.py:523(Optional)
       17    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       16    0.000    0.000    0.000    0.000 request.py:615(__lt__)
       16    0.000    0.000    0.000    0.000 typing.py:664(__init__)
       16    0.000    0.000    0.000    0.000 enum.py:82(__init__)
       16    0.000    0.000    0.000    0.000 enum.py:165(__prepare__)
       16    0.000    0.000    0.000    0.000 enum.py:198(<dictcomp>)
       16    0.000    0.000    0.000    0.000 enum.py:222(<setcomp>)
       16    0.001    0.000    0.003    0.000 enum.py:180(__new__)
       16    0.000    0.000    0.000    0.000 enum.py:423(__getattr__)
       16    0.000    0.000    0.000    0.000 enum.py:569(_check_for_existing_members)
       16    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       16    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
       15    0.000    0.000    0.000    0.000 ssl.py:996(_sslcopydoc)
